example_id                                                                | status | run_time        |
./spec/system/products_spec.rb[1:3:3]                                     | passed | 0.57909 seconds |
./spec/system/products_spec.rb[1:3:4]                                     | passed | 0.57025 seconds |
./spec/system/products_spec.rb[1:3:5]                                     | passed | 0.59233 seconds |
./spec/system/products_spec.rb[1:4:1]                                     | passed | 0.64116 seconds |
./spec/system/products_spec.rb[1:5:1:1]                                   | passed | 0.63307 seconds |
./spec/system/products_spec.rb[1:5:1:2]                                   | passed | 0.65764 seconds |
./spec/system/products_spec.rb[1:5:1:3]                                   | failed | 6.02 seconds    |
./spec/system/products_spec.rb[1:6]                                       | passed | 0.58231 seconds |
./spec/system/products_spec.rb[1:7:1]                                     | failed | 2.72 seconds    |
./spec/system/products_spec.rb[1:7:2]                                     | passed | 0.79467 seconds |
./spec/system/products_spec.rb[1:8:1]                                     | passed | 0.69607 seconds |
./spec/system/products_spec.rb[1:9]                                       | passed | 0.56855 seconds |
./spec/system/products_spec.rb[1:10]                                      | passed | 0.75447 seconds |
./spec/system/products_spec.rb[1:11]                                      | passed | 0.9005 seconds  |
./spec/system/products_spec.rb[1:12]                                      | passed | 0.74591 seconds |
./spec/system/products_spec.rb[1:13]                                      | passed | 0.96767 seconds |
./spec/system/products_spec.rb[1:14]                                      | passed | 0.56148 seconds |
./spec/system/promotion_code_invalidation_spec.rb[1:1]                    | failed | 2.29 seconds    |
./spec/system/quantity_promotions_spec.rb[1:1]                            | failed | 11.88 seconds   |
./spec/system/quantity_promotions_spec.rb[1:2]                            | failed | 11.68 seconds   |
./spec/system/quantity_promotions_spec.rb[1:3:1]                          | failed | 11.94 seconds   |
./spec/system/taxons_spec.rb[1:1]                                         | passed | 0.13283 seconds |
./spec/system/taxons_spec.rb[1:2]                                         | passed | 0.13244 seconds |
./spec/system/taxons_spec.rb[1:3:1]                                       | passed | 0.132 seconds   |
./spec/system/taxons_spec.rb[1:3:2]                                       | passed | 0.14552 seconds |
./spec/system/taxons_spec.rb[1:3:3]                                       | passed | 0.14617 seconds |
./spec/system/taxons_spec.rb[1:3:4]                                       | passed | 0.13095 seconds |
./spec/system/taxons_spec.rb[1:3:5]                                       | passed | 0.13215 seconds |
./spec/system/taxons_spec.rb[1:4:1]                                       | passed | 0.74135 seconds |
./spec/system/taxons_spec.rb[1:4:2]                                       | passed | 0.79639 seconds |
./spec/system/taxons_spec.rb[1:5:1]                                       | passed | 0.15188 seconds |
./spec/system/taxons_spec.rb[1:5:2:1]                                     | passed | 0.15772 seconds |
./spec/system/taxons_spec.rb[1:6:1]                                       | passed | 0.20483 seconds |
./spec/system/template_rendering_spec.rb[1:1]                             | passed | 0.02844 seconds |
